Teks Ulasan,Topik,Label
Tempatnya bener-bener bikin betah! Dikelilingi pohon rindangjadi adem banget.,Suasana dan Vibes,Positif
Vibesnya asri dan sejukcocok buat healing atau kerja.,Suasana dan Vibes,Positif
Suka banget sama konsepnya yang hijauudaranya segarjauh dari bising kota.,Suasana dan Vibes,Positif
Suasana di sini tuh tenang bangetbikin pikiran jadi fresh lagi.,Suasana dan Vibes,Positif
Kalau cari tempat ngopi yang adem dan rindangdi sini juaranya.,Suasana dan Vibes,Positif
Pohon-pohonnya bikin suasana jadi teduhenak buat nongkrong lama.,Suasana dan Vibes,Positif
Estetikanya dapet bangetperpaduan alam sama desain interiornya pas.,Suasana dan Vibes,Positif
Beneran kayak oase di tengah kotasejuknya alamibukan cuma AC.,Suasana dan Vibes,Positif
Dari luar mungkin biasa ajatapi begitu masuklangsung disambut suasana asri.,Suasana dan Vibes,Positif
Nggak nyangka ada tempat sehijau dan setenang ini buat ngopi.,Suasana dan Vibes,Positif
Cocok buat yang butuh inspirasisuasananya mendukung banget.,Suasana dan Vibes,Positif
Udaranya bersihbanyak tanaman hijaubikin mata seger.,Suasana dan Vibes,Positif
Tempatnya Instragramable dengan nuansa alam yang kental.,Suasana dan Vibes,Positif
Vibes sore hari di sini juaraapalagi pas cuaca cerah.,Suasana dan Vibes,Positif
Rindangnya pohon bikin lupa lagi di tengah kota yang padat.,Suasana dan Vibes,Positif
Pencahayaan alaminya bagusjadi makin nyaman.,Suasana dan Vibes,Positif
Bikin rileks bangetsuara gemerisik daun jadi musik alami.,Suasana dan Vibes,Positif
Desain outdoornya juaramenyatu dengan alam sekitar.,Suasana dan Vibes,Positif
Tempat pelarian terbaik dari hiruk pikuk perkotaan.,Suasana dan Vibes,Positif
Setiap sudutnya punya daya tarik sendiri karena kehijauannya.,Suasana dan Vibes,Positif
Konsep go green-nya berhasil banget menciptakan suasana nyaman.,Suasana dan Vibes,Positif
Pemandangan hijau di sekeliling bikin betah berlama-lama.,Suasana dan Vibes,Positif
Benar-benar coffeeshop dengan paru-paru hijau di tengah kota.,Suasana dan Vibes,Positif
Suasana yang dihadirkan sangat menenangkan jiwa.,Suasana dan Vibes,Positif
Asri bangetcocok untuk me-time sambil menikmati alam.,Suasana dan Vibes,Positif
Tempatnya biasa ajanggak se-asri yang di fotobanyak daun kering.,Suasana dan Vibes,Negatif
Agak berisik karena dekat jalan rayajadi kurang tenang buat kerja.,Suasana dan Vibes,Negatif
Konsep hijaunya oketapi penataannya kurang rapiterkesan semrawut.,Suasana dan Vibes,Negatif
Malam hari penerangannya kurangjadi agak spooky dan nggak nyaman.,Suasana dan Vibes,Negatif
Banyak nyamuk pas sorejadi nggak bisa nikmatin suasana outdoor.,Suasana dan Vibes,Negatif
Indoor-nya sempit dan agak pengapAC kurang terasa.,Suasana dan Vibes,Negatif
Musik yang diputar terlalu kerasmengganggu obrolan.,Suasana dan Vibes,Negatif
Tempat duduknya kurang nyaman buat lama-lamaterlalu keras.,Suasana dan Vibes,Negatif
Vibes-nya nggak se-eksklusif yang dibayangkanterlalu ramai dan sumpek.,Suasana dan Vibes,Negatif
Tanaman-tanamannya kurang terawatada yang layu dan kering.,Suasana dan Vibes,Negatif
Bau asap rokok dari area outdoor masuk ke indoormengganggu banget.,Suasana dan Vibes,Negatif
Ekspektasi suasana tenangtapi ternyata banyak anak-anak lari-larian.,Suasana dan Vibes,Negatif
Dekorasinya ada beberapa yang sudah usang dan rusak.,Suasana dan Vibes,Negatif
Area outdoor-nya becek setelah hujantidak ada antisipasi.,Suasana dan Vibes,Negatif
Kurang ada privasi antar mejaterlalu berdekatan.,Suasana dan Vibes,Negatif
Kopi di sini punya ciri khas tersendiribeda dari yang lain.,Kualitas Kopi,Positif
Rasa kopinya mantap! Aftertaste-nya juga enaknggak pahit doang.,Kualitas Kopi,Positif
Signature coffee-nya wajib cobarasanya unik dan nagih.,Kualitas Kopi,Positif
Pilihan biji kopinya berkualitasbarista juga jago meraciknya.,Kualitas Kopi,Positif
Kopi hitamnya nendangaromanya juga wangi banget.,Kualitas Kopi,Positif
Latte art-nya cantikrasanya juga seimbang antara kopi dan susu.,Kualitas Kopi,Positif
Baru kali ini nemu kopi dengan karakter sekuat inisuka!,Kualitas Kopi,Positif
Rasa kopinya konsisten enakudah beberapa kali ke sini selalu puas.,Kualitas Kopi,Positif
Manual brew di sini patut diacungi jempolekstraksinya pas.,Kualitas Kopi,Positif
Kopinya rich dan boldsesuai sama selera saya.,Kualitas Kopi,Positif
Bukan cuma suasanakopinya juga juara. Racikannya pas banget.,Kualitas Kopi,Positif
Harga sebanding dengan kualitas kopi yang ditawarkan.,Kualitas Kopi,Positif
Pecinta kopi sejati pasti suka sama rasa kopi di sini.,Kualitas Kopi,Positif
Ada notes unik di kopinya yang bikin penasaran dan pengen balik lagi.,Kualitas Kopi,Positif
Penyajian kopinya juga menarikвидночто mereka serius soal kopi.,Kualitas Kopi,Positif
Kopi susu andalannya punya rasa khas yang nggak ada di tempat lain.,Kualitas Kopi,Positif
Aroma kopinya sudah tercium dari pintu masukmenggoda banget.,Kualitas Kopi,Positif
Beans yang dipakai freshjadi rasanya maksimal.,Kualitas Kopi,Positif
Kopinya benar-benar authenticbukan yang asal-asalan.,Kualitas Kopi,Positif
Setiap seruputan kopinya memberikan pengalaman baru.,Kualitas Kopi,Positif
Keseimbangan antara asam dan pahitnya pas banget.,Kualitas Kopi,Positif
Variasi menu kopinya banyak dan semuanya menarik untuk dicoba.,Kualitas Kopi,Positif
Kopi mereka punya 'soul'terasa bedanya.,Kualitas Kopi,Positif
Rasa kopinya otentik dan berkesan.,Kualitas Kopi,Positif
Sangat direkomendasikan untuk para pencari kopi berkualitas.,Kualitas Kopi,Positif
Kopinya terlalu encerrasanya kurang nendang.,Kualitas Kopi,Negatif
Pesan lattetapi susunya kebanyakanrasa kopinya jadi hilang.,Kualitas Kopi,Negatif
Kopi hitamnya terlalu pahit gosongnggak enjoyable.,Kualitas Kopi,Negatif
Signature coffee-nya anehrasanya nggak cocok di lidah saya.,Kualitas Kopi,Negatif
Biji kopinya kayaknya kurang fresharomanya nggak keluar.,Kualitas Kopi,Negatif
Latte art-nya berantakannggak sesuai ekspektasi.,Kualitas Kopi,Negatif
Rasa kopinya standar ajanggak ada yang spesial.,Kualitas Kopi,Negatif
Pernah enaktapi kunjungan terakhir rasanya bedanggak konsisten.,Kualitas Kopi,Negatif
Manual brew-nya over-extractedjadi pahit banget.,Kualitas Kopi,Negatif
Kopinya terlalu asam buat selera saya.,Kualitas Kopi,Negatif
Pilihan beans-nya sedikitkurang variatif.,Kualitas Kopi,Negatif
Kualitas kopinya nggak sebanding sama harganya yang lumayan.,Kualitas Kopi,Negatif
Aftertaste-nya kurang enakninggalin rasa aneh di mulut.,Kualitas Kopi,Negatif
Minta less sugartapi tetap kemanisan banget kopinya.,Kualitas Kopi,Negatif
Espresso-nya watery dan creama-nya tipis.,Kualitas Kopi,Negatif
Pelayanannya ramah dan cepat tanggapbikin nyaman.,Pelayanan,Positif
Stafnya informatif bangetbisa jelasin menu kopi dengan detail.,Pelayanan,Positif
Baristanya friendlyenak diajak ngobrol soal kopi.,Pelayanan,Positif
Proses pesan dan bayar gampangnggak ribet.,Pelayanan,Positif
Waiters-nya sopan dan selalu senyumgood job!,Pelayanan,Positif
Meskipun ramaipelayanannya tetap oke dan nggak keteteran.,Pelayanan,Positif
Cepat banget penyajiannyanggak perlu nunggu lama.,Pelayanan,Positif
Stafnya perhatiansering nanya apakah ada yang kurang.,Pelayanan,Positif
Kebersihan meja selalu dijagahabis ada tamu langsung dibersihkan.,Pelayanan,Positif
Pelayanannya profesional tapi tetap hangat.,Pelayanan,Positif
Dikasih rekomendasi menu yang pas sama seleramakasih ya!,Pelayanan,Positif
Responsif terhadap permintaan pelanggan.,Pelayanan,Positif
Semua kru di sini kelihatan kompak dan sigap.,Pelayanan,Positif
Mulai dari kasir sampai baristasemuanya melayani dengan baik.,Pelayanan,Positif
Ngerasa dihargai banget sebagai pelanggan di sini.,Pelayanan,Positif
Standar pelayanannya tinggisalut!,Pelayanan,Positif
Stafnya punya product knowledge yang bagus.,Pelayanan,Positif
Suasana jadi makin oke karena pelayanannya yang memuaskan.,Pelayanan,Positif
Enggak ada keluhan soal servicesemuanya lancar.,Pelayanan,Positif
Bakal balik lagi salah satunya karena pelayanannya yang menyenangkan.,Pelayanan,Positif
Mereka benar-benar peduli dengan kenyamanan pengunjung.,Pelayanan,Positif
Stafnya helpfulmau bantu foto juga.,Pelayanan,Positif
Pelayanannya efisiennggak buang-buang waktu.,Pelayanan,Positif
Salut dengan keramahan seluruh tim.,Pelayanan,Positif
Pengalaman yang sangat positif berkat pelayanan yang prima.,Pelayanan,Positif
Pelayanannya lama bangetnunggu kopi aja setengah jam lebih.,Pelayanan,Negatif
Stafnya jutek dan nggak ramahditanya baik-baik jawabnya ketus.,Pelayanan,Negatif
Baristanya kelihatan nggak moodbikin kopi sambil cemberut.,Pelayanan,Negatif
Susah banget manggil waiterspadahal nggak terlalu ramai.,Pelayanan,Negatif
Pesanan saya salahdan pas komplain responnya lambat.,Pelayanan,Negatif
Meja kotor nggak langsung dibersihkanpadahal sudah minta tolong.,Pelayanan,Negatif
Stafnya kurang informatif soal menuditanya malah bingung.,Pelayanan,Negatif
Pas bayar kembaliannya kuranguntung saya hitung ulang.,Pelayanan,Negatif
Nggak ada senyum sama sekali dari para stafnya.,Pelayanan,Negatif
Pelayanannya pilih-pilihyang datang rombongan dilayani duluan.,Pelayanan,Negatif
Sudah panggil berkali-kali tapi diabaikan.,Pelayanan,Negatif
Proses ordernya ribetantriannya juga nggak jelas.,Pelayanan,Negatif
Kurang sigapada tumpahan juga lama baru dibersihkan.,Pelayanan,Negatif
Stafnya asyik ngobrol sendiringgak perhatiin pelanggan.,Pelayanan,Negatif
Ngerasa nggak disambut dengan baik pas datang.,Pelayanan,Negatif
WiFi kencangcocok buat kerja atau nugas.,Fasilitas Pendukung,Positif
Area outdoor-nya luas dan nyamanbanyak pilihan tempat duduk.,Fasilitas Pendukung,Positif
Toiletnya bersih dan wangipoin plus banget.,Fasilitas Pendukung,Positif
Parkirannya lumayan luasjadi nggak susah cari tempat.,Fasilitas Pendukung,Positif
Stop kontak ada di banyak titikaman buat yang mau nge-charge.,Fasilitas Pendukung,Positif
